Data of Transaction,Description,Amt,Main_Category,Sub_Category
2026-04-10,PRZELEW ZEWNĘTRZNY PRZYCHODZĄCY  WYNAGRODZENIE,4430.47,Income,Salary
2026-04-30,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY ZWROT,65.0,Income,External Transfers
2026-03-10,PRZELEW ZEWNĘTRZNY PRZYCHODZĄCY WYNAGRODZENIE,4430.47,Income,Salary
2026-03-31,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY ZWROT,80.0,Income,External Transfers
2026-02-06,BLIK P2P-PRZYCHODZĄCY ZWROT,-50.0,Income,BLIK
2026-02-10,PRZELEW ZEWNĘTRZNY PRZYCHODZĄCY  WYNAGRODZENIE,4430.47,Income,Salary
2026-01-06,BLIK P2P-PRZYCHODZĄCY Przelew na telefon,100.0,Income,BLIK
2026-01-10,PRZELEW ZEWNĘTRZNY PRZYCHODZĄCY WYNAGRODZENIE,4430.47,Income,Salary
2026-01-30,PRZELEW WEWNĘTRZNY PRZYCHODZĄCY ZWROT ZA ZAKUPY,50.0,Income,External Transfers
